strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,sma_window,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,exit_buffer,entry_buffer,confirm_days,fast,slow,min_hold_days
Guarded max 1x + min hold 20d,0.4359334403872275,0.5492746500739877,0.919192603568117,-0.7569142195901034,0.5759350651693416,12962.836620036722,22,506.81137325690105,2.117169373549884,min_hold,,,,,,,,,,,,,,,,20.0
SMA20 1x/cash + min hold 20d,0.4522164158541304,0.5450083651211899,0.9476218858004753,-0.700683985739686,0.645392823380632,15089.594998888151,26,668.873536414433,2.87122969837587,min_hold,,,,,,,,,,,,,,,,20.0
Guarded max 1x + min hold 10d,0.48383855677187015,0.5082998392708103,1.0896934340129933,-0.62889676904104,0.7693449554680353,20170.717042568416,74,2712.615574916802,9.280742459396752,min_hold,,,,,,,,,,,,,,,,10.0
SMA20 1x/cash + min hold 10d,0.505179359891375,0.49836039806267296,1.135068121662058,-0.6018749210492819,0.8393427641255892,24449.799546590923,78,3115.4738598241297,10.46983758700696,min_hold,,,,,,,,,,,,,,,,10.0
SMA20 1x/cash out-2% 5d confirm,0.27893943038991487,0.4143423443698077,0.8706488989334611,-0.6157789398271992,0.45298631107486603,2724.0875415362443,100,509.286406363988,27.03016241299304,confirm,,,,,,,,,,,0.02,,5.0,,,
SMA50 1x/cash exit-5% below MA,0.8108184932565912,0.39894520402119976,1.8099109131213558,-0.32634616108941306,2.4845351039212664,295103.6984081982,102,24359.112697473505,27.378190255220417,exit_buffer,50.0,,,,,,,,,,0.05,,,,,
SMA20 1x/cash out-1% 5d confirm,0.28728640091532176,0.4036050013316587,0.9217267514137854,-0.5439297593100773,0.5281681981874222,2973.616336016393,114,617.9492384870088,30.945475638051043,confirm,,,,,,,,,,,0.01,,5.0,,,
SMA30 1x/cash in+1%/out-5%,0.9704747954194932,0.39423331868199973,2.0750553340070934,-0.34419450115868483,2.8195534564106035,921251.1232635529,122,87922.00579380193,27.842227378190255,buffer,30.0,,,,,,,,,,0.05,0.01,,,,
SMA20 1x/cash out-0% 5d confirm,0.30243052927123215,0.39188378499314286,0.9936984807797624,-0.518039232542412,0.5837985045784579,3481.1226206416095,124,754.5405602642056,34.077726218097446,confirm,,,,,,,,,,,0.0,,5.0,,,
SMA30 1x/cash in+0.5%/out-5%,1.0191844663776943,0.3972933899139298,2.1312820793936873,-0.33543284517107497,3.038415829129367,1280148.4222059129,126,116175.3798677697,27.23317865429234,buffer,30.0,,,,,,,,,,0.05,0.005,,,,
SMA50 1x/cash exit-3% below MA,1.0052910379481044,0.3868139909031952,2.168705176564989,-0.30702374901846174,3.2743103462255454,1166434.9291594934,128,103359.28063109108,29.495359628770302,exit_buffer,50.0,,,,,,,,,,0.03,,,,,
SMA30 1x/cash exit-5% below MA,1.0403703817208805,0.39824920187993423,2.157707864938265,-0.34880891875537423,2.9826369848372782,1473443.406390129,128,151723.83002166502,26.711136890951277,exit_buffer,30.0,,,,,,,,,,0.05,,,,,
SMA30 1x/cash in+0%/out-5%,1.0403703817208805,0.39824920187993423,2.157707864938265,-0.34880891875537423,2.9826369848372782,1473443.406390129,128,151723.83002166502,26.711136890951277,buffer,30.0,,,,,,,,,,0.05,0.0,,,,
SMA20 1x/cash out-2% 3d confirm,0.3582725907846258,0.4021603450115062,1.1244278793249283,-0.6254372059025639,0.5728354300054875,6128.629563538073,134,1722.4688859973849,29.553364269141532,confirm,,,,,,,,,,,0.02,,3.0,,,
